               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028098,            0.008144,                   0,                   1,             0.91396,             0.99071,             0.59603,            0.023787,           0.0038206,                   0,           0.0054308,           0.0054308,           0.0054308
                  38,            0.026633,           0.0074569,                   0,             0.98945,                0.96,             0.99071,             0.64433,            0.023406,           0.0036565,                   0,           0.0053038,           0.0053038,           0.0053038
                  39,            0.026478,           0.0066666,                   0,             0.88782,                   1,             0.98751,             0.53863,            0.025605,           0.0036272,                   0,           0.0051769,           0.0051769,           0.0051769
                  40,            0.027558,           0.0076705,                   0,             0.95991,             0.95788,             0.99038,             0.56416,            0.024191,           0.0035717,                   0,             0.00505,             0.00505,             0.00505
                  41,            0.027879,           0.0074264,                   0,              0.9351,                0.96,             0.98884,             0.66622,            0.020802,           0.0034742,                   0,           0.0049231,           0.0049231,           0.0049231
                  42,            0.027379,           0.0068806,                   0,             0.92522,             0.99007,             0.98437,             0.53659,            0.026375,           0.0035881,                   0,           0.0047962,           0.0047962,           0.0047962
                  43,             0.02633,           0.0069136,                   0,             0.89908,                0.96,             0.98148,             0.65902,            0.022717,           0.0036495,                   0,           0.0046692,           0.0046692,           0.0046692
                  44,            0.027026,           0.0070716,                   0,              0.9057,                   1,             0.98315,             0.53569,            0.025249,           0.0036935,                   0,           0.0045423,           0.0045423,           0.0045423
                  45,            0.027122,           0.0067733,                   0,             0.89168,             0.98815,             0.98003,             0.65904,              0.0205,           0.0036533,                   0,           0.0044154,           0.0044154,           0.0044154
                  46,            0.025736,           0.0069812,                   0,             0.89268,             0.99823,             0.98214,             0.64858,            0.021504,           0.0036034,                   0,           0.0042885,           0.0042885,           0.0042885
                  47,            0.023908,           0.0070136,                   0,                   1,             0.94728,             0.99071,             0.55637,            0.023816,           0.0037435,                   0,           0.0041615,           0.0041615,           0.0041615
                  48,            0.024881,           0.0069211,                   0,              0.9173,                   1,             0.98741,             0.63456,            0.021516,           0.0036157,                   0,           0.0040346,           0.0040346,           0.0040346
                  49,            0.024734,           0.0066491,                   0,             0.92208,             0.94705,             0.98218,             0.66293,            0.021526,           0.0035311,                   0,           0.0039077,           0.0039077,           0.0039077
                  50,            0.024658,            0.007418,                   0,             0.95796,             0.91165,              0.9823,             0.63912,            0.022346,           0.0034712,                   0,           0.0037808,           0.0037808,           0.0037808
                  51,            0.023725,           0.0069932,                   0,             0.90332,                0.96,             0.98456,             0.57676,              0.0219,           0.0036041,                   0,           0.0036538,           0.0036538,           0.0036538
                  52,            0.023591,           0.0063472,                   0,             0.88145,                   1,             0.98456,             0.65944,            0.020161,           0.0035193,                   0,           0.0035269,           0.0035269,           0.0035269
                  53,            0.022722,           0.0064591,                   0,             0.88922,             0.96338,             0.98456,             0.64891,            0.019482,           0.0035234,                   0,              0.0034,              0.0034,              0.0034
                  54,            0.023023,           0.0068129,                   0,             0.95432,                0.96,             0.98751,             0.66788,             0.02026,            0.003474,                   0,           0.0032731,           0.0032731,           0.0032731
                  55,            0.021639,           0.0067772,                   0,             0.91881,                   1,             0.98884,             0.68089,            0.019003,           0.0034369,                   0,           0.0031462,           0.0031462,           0.0031462
                  56,            0.022305,           0.0061985,                   0,             0.95206,                   1,             0.99038,             0.64975,            0.019606,           0.0033844,                   0,           0.0030192,           0.0030192,           0.0030192
                  57,            0.022823,             0.00648,                   0,             0.96137,             0.99555,             0.99038,             0.66003,            0.020035,           0.0032805,                   0,           0.0028923,           0.0028923,           0.0028923
                  58,            0.021939,           0.0059752,                   0,             0.96152,             0.99941,             0.99038,             0.66323,             0.02096,           0.0032217,                   0,           0.0027654,           0.0027654,           0.0027654
                  59,            0.020329,           0.0062257,                   0,             0.94711,                0.96,             0.98751,             0.68513,             0.01942,           0.0032126,                   0,           0.0026385,           0.0026385,           0.0026385
                  60,              0.0218,           0.0064589,                   0,             0.95994,             0.95851,             0.98628,             0.73338,              0.0191,           0.0031866,                   0,           0.0025115,           0.0025115,           0.0025115
                  61,             0.02093,           0.0061079,                   0,             0.95948,              0.9475,             0.98628,              0.7446,            0.018079,           0.0030953,                   0,           0.0023846,           0.0023846,           0.0023846
                  62,            0.020893,           0.0065051,                   0,             0.95211,                0.96,             0.98628,             0.69284,            0.019203,            0.003126,                   0,           0.0022577,           0.0022577,           0.0022577
                  63,            0.020647,           0.0061083,                   0,             0.94846,                0.96,             0.98468,             0.68187,            0.019556,            0.003109,                   0,           0.0021308,           0.0021308,           0.0021308
                  64,            0.018998,           0.0054166,                   0,             0.95104,                0.96,             0.98271,             0.69682,            0.019864,           0.0031139,                   0,           0.0020038,           0.0020038,           0.0020038
                  65,            0.020611,           0.0069674,                   0,             0.91326,                0.96,              0.9743,             0.68242,            0.019729,           0.0031513,                   0,           0.0018769,           0.0018769,           0.0018769
                  66,            0.020179,           0.0058945,                   0,             0.88396,                   1,              0.9693,             0.67572,            0.019802,           0.0031375,                   0,             0.00175,             0.00175,             0.00175
                  67,            0.019427,           0.0061719,                   0,             0.94599,                0.96,             0.97151,             0.68384,            0.018974,           0.0031263,                   0,           0.0016231,           0.0016231,           0.0016231
                  68,            0.019063,           0.0061625,                   0,              0.9599,             0.95751,             0.97311,              0.7087,              0.0179,           0.0030784,                   0,           0.0014962,           0.0014962,           0.0014962
                  69,            0.020009,           0.0059713,                   0,             0.93619,                0.96,             0.97311,             0.69445,            0.018051,           0.0030659,                   0,           0.0013692,           0.0013692,           0.0013692
                  70,            0.018854,           0.0058583,                   0,             0.92539,             0.99254,             0.97444,             0.67246,            0.019834,           0.0031237,                   0,           0.0012423,           0.0012423,           0.0012423
                  71,            0.019572,           0.0063843,                   0,             0.92523,             0.99019,             0.97444,             0.70656,              0.0188,           0.0031083,                   0,           0.0011154,           0.0011154,           0.0011154
                  72,            0.018427,           0.0055975,                   0,             0.95013,                0.96,             0.97444,             0.67388,            0.019252,           0.0031217,                   0,          0.00098846,          0.00098846,          0.00098846
                  73,             0.01857,            0.005919,                   0,             0.95075,                0.96,             0.97311,             0.70712,            0.018244,           0.0030772,                   0,          0.00086154,          0.00086154,          0.00086154
                  74,            0.018361,           0.0056947,                   0,             0.95229,                0.96,             0.97471,             0.70181,            0.018814,           0.0031059,                   0,          0.00073462,          0.00073462,          0.00073462
                  75,             0.01909,           0.0061713,                   0,              0.9503,                0.96,             0.97471,             0.69911,            0.018766,           0.0031146,                   0,          0.00060769,          0.00060769,          0.00060769
                  76,             0.01813,           0.0062312,                   0,             0.95007,                0.96,             0.97764,             0.68361,            0.019417,            0.003134,                   0,          0.00048077,          0.00048077,          0.00048077
                  77,            0.018604,           0.0058978,                   0,              0.9518,                0.96,             0.97471,             0.71788,            0.018569,           0.0031103,                   0,          0.00035385,          0.00035385,          0.00035385
